,rn_numbers,top_labels
0,RG-50.030.0185,"[('camp', 10.4), ('family', 9.2), ('aid', 8.2)]"
1,RG-50.233.0050,"[('food', 100.0), ('aid', 0.0), ('american', 0.0)]"
2,RG-50.233.0058,"[('food', 100.0), ('aid', 0.0), ('american', 0.0)]"
3,RG-50.233.0061,"[('hospital', 100.0), ('aid', 0.0), ('american', 0.0)]"
4,RG-50.233.0068,"[('Jewish', 100.0), ('aid', 0.0), ('american', 0.0)]"
5,RG-50.999.0601,"[('family', 11.5), ('army', 9.9), ('aid', 7.5)]"
