,rn_numbers,top_labels
0,RG-50.030.0217,"[('Jewish', 10.5), ('buildings', 9.0), ('camp', 8.2)]"
1,RG-50.471.0001,"[('buildings', 10.8), ('government', 10.8), ('relocation', 9.8)]"
2,RG-50.471.0003,"[('relocation', 10.8), ('family', 8.1), ('buildings', 8.0)]"
3,RG-50.471.0006,"[('government', 13.4), ('relocation', 8.6), ('buildings', 8.4)]"
4,RG-50.471.0011,"[('relocation', 14.4), ('ghetto', 8.5), ('buildings', 8.2)]"
