,rn_numbers,top_labels
0,RG-50.030.0185,"[('camp', 10), ('family', 9), ('aid', 8)]"
1,RG-50.233.0050,"[('food', 100), ('aid', 0), ('american', 0)]"
2,RG-50.233.0058,"[('food', 100), ('aid', 0), ('american', 0)]"
3,RG-50.233.0061,"[('hospital', 100), ('aid', 0), ('american', 0)]"
4,RG-50.233.0068,"[('Jewish', 100), ('aid', 0), ('american', 0)]"
5,RG-50.999.0453,"[('camp', 10), ('family', 10), ('aid', 7)]"
6,RG-50.999.0601,"[('family', 11), ('army', 10), ('aid', 8)]"
